What builds strong bones,Calcium,easy 1
Main energy source,Carbohydrates,easy 1
Builds muscles,Protein,easy 1
Vitamin from the sun,VitaminD,easy 1
Potassium-rich fruit,Banana,easy 1
good for eyes,Carrot,easy 1
Fiber-rich grain,Oats,easy 1
Calcium-rich dairy,Milk,easy 1
Iron-rich meat,Beef,easy 1
Healthy fat nut,Almond,easy 1
Hydrates your body,Water,easy 2
Simple sugar,Glucose,easy 2
Complex carb,Starch,easy 2
Unsaturated fat type,Omega,easy 2
Carries oxygen,Iron,easy 2
Citrus fruit vitamin,Vitamin C,easy 2
Beans food group,Protein,easy 2
Apples food group,Fruit,easy 2
Bread food group,Grains,easy 2
Healthy cooking oil,Olive,easy 2
Limit this processed food,Candy,medium 1
Probiotic source,Yogurt,medium 1
Type of B vitamin,Folate,medium 1
Thyroid mineral,Iodine,medium 1
Antioxidant,VitaminE,medium 1
Healthy veggie cooking,Steaming,medium 1
Limit this,Sugar,medium 1
For digestion,Fiber,medium 1
Too much salt,Hypertension,medium 1
Healthy breakfast,Oatmeal,medium 1
Vegetarian protein,Tofu,medium 2
Healthy snack,Fruit,medium 2
Healthy fat type,Unsaturated,medium 2
Bad fat type,Trans,medium 2
Food energy unit,Calorie,medium 2
Diet-related disease,Obesity,medium 2
Vitamin C deficiency,Scurvy,medium 2
Vitamin D deficiency,Rickets,medium 2
For growth/repair,Protein,medium 2
Regulates body temp,Water,medium 2
Omega-3 source,Fish,hard
Gluten-free grain,Rice,hard
Colorful veggie,Broccoli,hard
Type of berry,Blueberry,hard
Healthy cooking,Grilling,hard
Drink plenty of,Water,hard
Eat in moderation,Sweets,hard
Healthy fat source,Avocado,hard
Type of legume,Lentil,hard
Important for health,Nutrition,hard
